feature_index,importance_mean,importance_std
70,-0.0028203717611743283,0.004286475534533904
217,-0.0028391058126167935,0.0034396196753167727
165,-0.002872553411443579,0.004958068763263751
143,-0.0028777202728565376,0.004155382391406227
61,-0.0029036008791595734,0.006973017991986577
95,-0.0030185541046961473,0.00269878686548315
37,-0.003048215919620889,0.0019672645229285154
98,-0.003061902248769738,0.0026763298525692386
74,-0.0031222369584438746,0.0020439838856653922
25,-0.003163489106693218,0.0027513338150487975
118,-0.0032489034983148478,0.004803333390543963
250,-0.0033013021450652323,0.00634124411767823
109,-0.003342627276717447,0.0019784154421094327
252,-0.003498699391209814,0.0043824148455846755
231,-0.003544899017444525,0.002776541155006478
120,-0.0035948786057469597,0.0032441914006754034
32,-0.003600215700461845,0.002391921352952816
49,-0.0036221743709730025,0.005044807820066068
134,-0.0037192005769251966,0.00624008426935183
138,-0.0037349594232708393,0.005548870683548033
58,-0.0037521125251591624,0.0026696075513837495
59,-0.0037819600190630966,0.004287046607887866
245,-0.0037915277688357675,0.0028675289303024057
87,-0.003800293260759491,0.0065088902001639
144,-0.0040351190719405405,0.002413623112161956
137,-0.004109780636961402,0.004035797098962198
223,-0.004119888433013674,0.004351043125653296
113,-0.004289546688432755,0.00595022997521301
102,-0.004368231121483257,0.007723020090924282
33,-0.0044808158153425036,0.0034662285324462616
132,-0.004544641102285774,0.006916391816507904
160,-0.004610995444129196,0.005480610715631465
116,-0.004662454352740481,0.006074867140088251
232,-0.004763338887947393,0.0019580117850250115
203,-0.004852160322913907,0.003491536098477847
151,-0.004920370507538607,0.005106468317773206
201,-0.00502928808544173,0.0005910893295219137
92,-0.005055682945744461,0.004228975225915706
128,-0.005136860268738908,0.004697023740693942
247,-0.00517979299042447,0.004119667042543146
53,-0.005292789606482917,0.0038003712086610085
97,-0.005388244023148708,0.004118532632301522
119,-0.005436533323008075,0.003380099487057901
3,-0.005522989632920089,0.002098874016295351
242,-0.0055834181574558606,0.0059246856124204935
168,-0.005743006306850457,0.007213793307115093
205,-0.005791486346152086,0.0042862540161375
55,-0.005858489862644661,0.007500441963737499
186,-0.005861009146790936,0.004829619309327902
164,-0.005941682586090813,0.002845619017621246
195,-0.005978434883272548,0.011291177086380147
226,-0.00599473581279768,0.0032832836232558637
38,-0.0060816114738311885,0.003300075484026202
253,-0.0062768233510397346,0.004839958040106309
4,-0.0065035457523036746,0.0026083558625410955
